t (s),V (mV)
0,17.0418
1.04,17.0295
2.044,17.0116
3.04,16.9902
4.039,16.9698
5.039,16.9473
6.039,16.9141
7.04,16.9109
8.044,16.8756
9.039,16.8286
10.039,16.8352
11.039,16.8118
12.04,16.7584
13.039,16.738
14.04,16.7472
15.039,16.6905
16.039,16.6698
17.039,16.6644
18.039,16.6324
19.039,16.611
20.039,16.5624
21.039,16.5686
22.04,16.543
23.039,16.5237
24.039,16.4969
25.039,16.4632
26.044,16.4333
27.04,16.3922
28.039,16.3669
29.039,16.3429
30.04,16.3407
31.039,16.3212
32.044,16.2796
33.039,16.2448
34.04,16.2352
35.039,16.2118
36.039,16.184
37.039,16.1344
38.04,16.1364
39.04,16.1098
40.041,16.0586
41.04,16.033
42.039,16.0056
43.039,16.0144
44.039,15.9811
45.039,15.9619
46.039,15.9342
47.04,15.911
48.04,15.8803
49.04,15.8522
50.04,15.8266
51.04,15.8103
52.04,15.7781
53.039,15.7689
54.04,15.7343
55.04,15.7144
56.04,15.6903
57.04,15.6676
58.04,15.6443
59.04,15.6201
60.04,15.601
61.04,15.5756
62.04,15.5545
63.04,15.5294
64.04,15.4964
65.04,15.4753
66.04,15.4535
67.04,15.4305
68.04,15.4141
69.039,15.3923
70.039,15.3641
71.039,15.3405
72.04,15.322
73.04,15.2911
74.046,15.2806
75.04,15.248
76.039,15.2241
77.039,15.2041
78.039,15.1773
79.039,15.1758
80.044,15.1523
81.04,15.116
82.039,15.094
83.04,15.0613
84.039,15.0265
85.04,15.0082
86.04,14.9807
87.039,14.9581
88.039,14.9108
89.04,14.92
90.039,14.8735
91.039,14.8539
92.04,14.8471
93.039,14.8317
94.04,14.8186
95.04,14.7897
96.039,14.7637
97.039,14.7476
98.044,14.7158
99.039,14.6849
100.04,14.6681
101.04,14.6498
102.039,14.629
103.039,14.6053
104.044,14.5931
105.039,14.5454
106.04,14.5503
107.04,14.5296
108.04,14.5044
109.04,14.4897
110.04,14.4673
111.039,14.4427
112.039,14.425
113.039,14.401
114.039,14.3811
115.039,14.3569
116.039,14.329
117.039,14.3084
118.039,14.2841
119.039,14.2737
120.039,14.2576
121.04,14.2353
122.044,14.2214
123.039,14.1927
124.039,14.1672
125.039,14.1516
126.039,14.1324
127.039,14.1106
128.039,14.0921
129.039,14.0609
130.04,14.0418
131.039,14.0195
132.04,13.9963
133.039,13.9792
134.044,13.9751
135.04,13.9492
136.04,13.9271
137.039,13.9059
138.039,13.8903
139.039,13.8709
140.044,13.8595
141.039,13.8335
142.039,13.8045
143.039,13.7947
144.04,13.7849
145.04,13.7641
146.039,13.7467
147.04,13.727
148.04,13.702
149.04,13.6828
150.039,13.6603
151.039,13.6564
152.043,13.6169
153.04,13.6044
154.04,13.58
155.04,13.5623
156.039,13.5414
157.039,13.5048
158.039,13.4995
159.04,13.4848
160.041,13.4642
161.04,13.4515
162.039,13.4328
163.039,13.4071
164.039,13.3904
165.039,13.3769
166.039,13.35
167.04,13.3286
168.04,13.3209
169.04,13.2989
170.041,13.2798
171.04,13.2609
172.04,13.2428
173.039,13.2232
174.039,13.2062
175.04,13.192
176.04,13.1697
177.04,13.1463
178.04,13.1276
179.039,13.1043
180.04,13.0883
181.039,13.0669
182.039,13.0426
183.04,13.0234
184.039,13.008
185.04,12.987
186.04,12.9675
187.04,12.9465
188.04,12.9353
189.04,12.9049
190.04,12.8835
191.04,12.8798
192.04,12.8682
193.04,12.8455
194.04,12.8271
195.04,12.8031
196.04,12.7881
197.04,12.7638
198.04,12.7556
199.039,12.7368
200.044,12.7211
201.039,12.7041
202.039,12.6903
203.039,12.6696
204.039,12.6497
205.04,12.6315
206.046,12.6073
207.04,12.5915
208.039,12.5763
209.04,12.5595
210.04,12.5402
211.04,12.5237
212.039,12.5054
213.039,12.4876
214.039,12.4717
215.039,12.4517
216.04,12.4475
217.04,12.4303
218.039,12.4119
219.039,12.3841
220.039,12.369
221.039,12.3514
222.039,12.3341
223.04,12.3163
224.04,12.3004
225.04,12.2877
226.04,12.272
227.04,12.2514
228.04,12.2356
229.04,12.2172
230.044,12.1941
231.04,12.1796
232.039,12.166
233.039,12.1458
234.04,12.1319
235.039,12.1056
236.044,12.0932
237.04,12.0744
238.04,12.0531
239.04,12.005
240.039,12.0326
241.039,11.9891
242.039,11.9853
243.039,11.9706
244.039,11.9433
245.04,11.937
246.04,11.9167
247.04,11.8937
248.044,11.8905
249.04,11.8688
250.04,11.8558
251.039,11.8383
252.04,11.8196
253.039,11.8054
254.039,11.787
255.039,11.7741
256.039,11.7533
257.039,11.7379
258.039,11.7239
259.039,11.7056
260.039,11.693
261.039,11.6707
262.039,11.6604
263.039,11.6473
264.039,11.6331
265.039,11.6192
266.04,11.586
267.04,11.5765
268.04,11.5627
269.04,11.5539
270.04,11.5371
271.04,11.5225
272.044,11.4954
273.039,11.4813
274.04,11.4645
275.04,11.4511
276.039,11.4335
277.04,11.4162
278.04,11.3998
279.04,11.3786
280.04,11.3662
281.04,11.3418
282.039,11.3311
283.04,11.318
284.045,11.3027
285.039,11.2918
286.04,11.2785
287.04,11.2621
288.039,11.2449
289.039,11.2303
290.039,11.212
291.039,11.193
292.039,11.1857
293.039,11.166
294.039,11.1538
295.039,11.1424
296.04,11.1302
297.04,11.1004
298.04,11.0915
299.04,11.0764
300.04,11.063
301.04,11.0419
302.041,11.021
303.04,11.0043
304.04,10.965
305.04,10.9539
306.039,10.9306
307.04,10.9151
308.039,10.9382
309.039,10.9185
310.04,10.8872
311.04,10.8805
312.039,10.8681
313.039,10.855
314.04,10.8382
315.04,10.8269
316.04,10.8035
317.04,10.7911
318.039,10.7776
319.04,10.7638
320.04,10.7483
321.04,10.7363
322.04,10.7109
323.04,10.6986
324.039,10.6857
325.039,10.6766
326.039,10.6581
327.039,10.6477
328.039,10.6338
329.04,10.6157
330.039,10.6065
331.039,10.5911
332.043,10.5785
333.038,10.561
334.038,10.5502
335.038,10.5359
336.039,10.531
337.038,10.5103
338.038,10.5001
339.039,10.4863
340.039,10.4705
341.038,10.4625
342.038,10.4514
343.039,10.4053
344.039,10.4173
345.039,10.4011
346.039,10.3909
347.039,10.3703
348.039,10.3685
349.038,10.3507
350.038,10.338
351.038,10.3226
352.039,10.3055
353.039,10.2868
354.038,10.2727
355.038,10.2591
356.038,10.2486
357.038,10.2435
358.038,10.2259
359.039,10.2105
360.039,10.182
361.038,10.1698
362.038,10.1502
363.038,10.1203
364.039,10.1381
365.039,10.1215
366.038,10.1029
