t (s),V (mV)
0,15.7701
0.966,15.7579
1.93,15.7445
2.926,15.698
3.926,15.6844
4.927,15.6676
5.927,15.6535
6.926,15.6322
7.926,15.6006
8.927,15.5571
9.927,15.5348
10.927,15.5168
11.926,15.4839
12.926,15.4551
13.926,15.4447
14.927,15.4324
15.926,15.4077
16.926,15.3713
17.927,15.3618
18.926,15.3373
19.927,15.2996
20.927,15.2914
21.927,15.258
22.927,15.2558
23.926,15.2066
24.926,15.1848
25.926,15.1656
26.926,15.1615
27.926,15.1283
28.926,15.1113
29.926,15.0885
30.926,15.0639
31.927,15.0458
32.927,15.0265
33.926,15.0152
34.926,14.9896
35.927,14.9699
36.927,14.9532
37.927,14.9248
38.927,14.9123
39.926,14.8757
40.926,14.8833
41.926,14.8374
42.926,14.8166
43.927,14.8232
44.927,14.8062
45.926,14.7816
46.926,14.7467
47.926,14.7522
48.926,14.7347
49.926,14.7142
50.927,14.6732
51.927,14.6837
52.927,14.667
53.927,14.6462
54.926,14.6297
55.926,14.6094
56.926,14.5963
57.927,14.5755
58.926,14.559
59.927,14.54
60.927,14.5308
61.927,14.506
62.927,14.4906
63.926,14.4791
64.927,14.4619
65.926,14.4244
66.927,14.4317
67.926,14.4173
68.927,14.393
69.926,14.3799
70.927,14.3591
71.926,14.3461
72.926,14.3095
73.927,14.3145
74.927,14.2986
75.926,14.2819
76.926,14.2695
77.927,14.2362
78.927,14.2474
79.927,14.2365
80.926,14.2149
81.926,14.2087
82.926,14.1983
83.927,14.1808
84.926,14.1633
85.926,14.1492
86.927,14.1418
87.927,14.1049
88.927,14.1106
89.927,14.1062
90.927,14.0967
91.927,14.0863
92.927,14.067
93.927,14.045
94.926,14.0567
95.926,14.0484
96.926,14.0432
97.926,14.0365
98.926,14.0296
99.926,14.0247
100.926,14.0186
101.926,14.0146
102.926,13.993
103.927,14.0102
104.927,14.0067
105.926,14.0027
106.927,13.9922
107.926,13.9662
108.926,13.9775
109.926,13.9718
110.926,13.9684
111.926,13.9514
112.926,13.9484
113.926,13.9373
114.926,13.9224
115.927,13.9219
116.926,13.9034
117.926,13.8898
118.927,13.875
119.927,13.854
120.926,13.8233
121.926,13.7959
122.926,13.7689
123.926,13.7461
124.927,13.7219
125.927,13.6986
126.927,13.6744
127.927,13.6516
128.926,13.6259
129.927,13.6045
130.927,13.5832
131.926,13.5566
132.927,13.5447
133.927,13.5279
134.926,13.5097
135.927,13.4883
136.927,13.4693
137.927,13.4498
138.926,13.4364
139.926,13.4198
140.927,13.4079
141.926,13.3873
142.926,13.3825
143.926,13.3598
144.926,13.3396
145.926,13.3188
146.926,13.3106
147.927,13.2889
148.927,13.2836
149.926,13.2599
150.926,13.2439
151.927,13.2372
152.927,13.1935
153.927,13.184
154.926,13.1904
155.926,13.1681
156.927,13.1549
157.927,13.1341
158.927,13.1253
159.926,13.1147
160.926,13.0964
161.927,13.0888
162.926,13.081
163.927,13.0586
164.926,13.0745
165.926,13.0654
166.927,13.0529
167.927,13.0297
168.926,13.0221
169.927,13.0154
170.926,12.9951
171.926,12.9877
172.927,12.9772
173.927,12.9676
174.927,12.9533
175.926,12.9493
176.926,12.9421
177.927,12.9264
178.927,12.9305
179.927,12.919
180.926,12.905
181.927,12.8978
182.926,12.8909
183.926,12.8769
184.926,12.8668
185.926,12.8491
186.926,12.845
187.926,12.826
188.927,12.8187
189.927,12.7932
190.927,12.7886
191.927,12.7768
192.927,12.7657
193.926,12.746
194.926,12.7432
195.926,12.7317
196.927,12.7343
197.927,12.7244
198.926,12.7111
199.927,12.6984
200.927,12.6871
201.927,12.6732
202.926,12.656
203.926,12.6538
204.926,12.6456
205.926,12.6343
206.927,12.6224
207.927,12.6006
208.927,12.601
209.927,12.598
210.927,12.5849
211.927,12.57
212.927,12.5615
213.927,12.5561
214.927,12.5385
215.927,12.534
216.926,12.5329
217.926,12.5128
218.926,12.5125
219.926,12.5079
220.926,12.5013
221.927,12.4879
222.927,12.4769
223.927,12.471
224.927,12.4575
225.927,12.4502
226.926,12.4404
227.926,12.4243
228.926,12.416
229.926,12.4084
230.926,12.3993
231.926,12.3871
232.926,12.3756
233.926,12.366
234.926,12.3601
235.927,12.3468
236.927,12.3352
237.927,12.3145
238.926,12.3219
239.927,12.3082
240.926,12.2965
241.926,12.2876
242.926,12.2809
243.926,12.269
244.926,12.2597
245.926,12.2507
