date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-05-17, 14:21:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:38	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2022-05-17, 14:21:40	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2022-05-17, 14:21:42	--- no data ---	--- no data ---	--- no data ---	--- no data ---
2022-05-17, 14:21:44	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:46	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:48	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:50	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:52	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-05-17, 14:21:58	0 Hz	0 W	1E3 mbar	5,8E2 mbar
2022-05-17, 14:22:00	0 Hz	0 W	1E3 mbar	4E2 mbar
2022-05-17, 14:22:02	0 Hz	0 W	1E3 mbar	3,5E2 mbar
2022-05-17, 14:22:04	0 Hz	0 W	1E3 mbar	2,8E2 mbar
2022-05-17, 14:22:06	0 Hz	0 W	1E3 mbar	2E2 mbar
2022-05-17, 14:22:08	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2022-05-17, 14:22:10	0 Hz	0 W	6,6E2 mbar	1,5E2 mbar
2022-05-17, 14:22:12	0 Hz	0 W	4,1E2 mbar	1,2E2 mbar
2022-05-17, 14:22:14	0 Hz	0 W	3E2 mbar	1E2 mbar
2022-05-17, 14:22:16	0 Hz	0 W	2E2 mbar	8,6E1 mbar
2022-05-17, 14:22:18	0 Hz	0 W	1,6E2 mbar	7,2E1 mbar
2022-05-17, 14:22:20	0 Hz	0 W	1,1E2 mbar	6,4E1 mbar
2022-05-17, 14:22:22	0 Hz	0 W	9,1E1 mbar	5,6E1 mbar
2022-05-17, 14:22:24	0 Hz	0 W	7,6E1 mbar	5,1E1 mbar
2022-05-17, 14:22:26	0 Hz	0 W	6,4E1 mbar	4,2E1 mbar
2022-05-17, 14:22:28	0 Hz	0 W	5,5E1 mbar	3,7E1 mbar
2022-05-17, 14:22:30	0 Hz	0 W	5E1 mbar	3,5E1 mbar
2022-05-17, 14:22:32	0 Hz	0 W	4E1 mbar	3,1E1 mbar
2022-05-17, 14:22:34	0 Hz	0 W	3,6E1 mbar	2,7E1 mbar
2022-05-17, 14:22:36	0 Hz	0 W	3,3E1 mbar	2,5E1 mbar
2022-05-17, 14:22:38	0 Hz	0 W	2,9E1 mbar	2,1E1 mbar
2022-05-17, 14:22:40	0 Hz	0 W	2,5E1 mbar	1,8E1 mbar
2022-05-17, 14:22:42	0 Hz	0 W	2E1 mbar	1,7E1 mbar
2022-05-17, 14:22:44	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2022-05-17, 14:22:46	0 Hz	0 W	1,7E1 mbar	1,5E1 mbar
2022-05-17, 14:22:48	0 Hz	0 W	1,6E1 mbar	1,3E1 mbar
2022-05-17, 14:22:50	0 Hz	0 W	1,5E1 mbar	1,2E1 mbar
2022-05-17, 14:22:52	0 Hz	0 W	1,3E1 mbar	1E1 mbar
2022-05-17, 14:22:54	0 Hz	0 W	1,2E1 mbar	9,8E0 mbar
2022-05-17, 14:22:56	0 Hz	0 W	1,1E1 mbar	9,2E0 mbar
2022-05-17, 14:22:58	0 Hz	0 W	9,9E0 mbar	8,7E0 mbar
2022-05-17, 14:23:00	0 Hz	0 W	9,4E0 mbar	8,2E0 mbar
2022-05-17, 14:23:02	0 Hz	0 W	8,9E0 mbar	7,7E0 mbar
2022-05-17, 14:23:04	0 Hz	0 W	8,4E0 mbar	7,2E0 mbar
2022-05-17, 14:23:06	0 Hz	0 W	8E0 mbar	6,9E0 mbar
2022-05-17, 14:23:08	0 Hz	0 W	7,6E0 mbar	6,7E0 mbar
2022-05-17, 14:23:10	0 Hz	0 W	7,2E0 mbar	6,5E0 mbar
2022-05-17, 14:23:12	0 Hz	0 W	7E0 mbar	6,4E0 mbar
2022-05-17, 14:23:14	0 Hz	0 W	6,8E0 mbar	6,2E0 mbar
2022-05-17, 14:23:16	0 Hz	0 W	6,6E0 mbar	6,1E0 mbar
2022-05-17, 14:23:18	0 Hz	0 W	6,5E0 mbar	5,9E0 mbar
2022-05-17, 14:23:20	0 Hz	0 W	6,3E0 mbar	5,8E0 mbar
2022-05-17, 14:23:22	0 Hz	0 W	6,2E0 mbar	5,7E0 mbar
